"Node","SW Make","Software (SW) Description","Software Version"
"Engineering & Production","RedHat","RedHat Enterprise Linux","RHEL 7.1"
"SAN Archive 1","","",""
"Engineering & Production","RedHat","RedHat Enterprise Linux","RHEL 7.1"
"SAN Archive 2","","",""
"Engineering & Production","RedHat","RedHat Enterprise Linux","RHEL 7.1"
"SAN Archive 1 Backup","","",""
"Engineering & Production","RedHat","RedHat Enterprise Linux","RHEL 7.1"
"SAN Archive 2 Backup","","",""
"Test SAN Archive","RedHat","RedHat Enterprise Linux","RHEL 7.1"
"Test SAN Archive Backup","RedHat","RedHat Enterprise Linux","RHEL 7.1"
"Cybersecurity Capability &","RedHat","RedHat Enterprise Linux","RHEL 7.1"
"Tools SAN Archive Backup","","",""
"Company Management SAN","RedHat","RedHat Enterprise Linux","RHEL 7.1"
"Archive","","",""
"Company Management SAN","RedHat","RedHat Enterprise Linux","RHEL 7.1"
"Archive Backup","","",""
