"","","","","","","Function Number","","","","","","",""
"Endpoint Node Name 
F1","F2 
F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"Engineering & Production SAN 
X","X 
X","","","","","","","","","","","",""
"Archive 1","","","","","","","","","","","","",""
"Engineering & Production SAN","","","","","X","","","","","","","",""
"Archive 1 Backup","","","","","","","","","","","","",""
"Engineering & Production SAN 2 
X","X 
X","","","","","","","","","","","",""
"Engineering & Production SAN 
X","X 
X","","","","","","","","","","","",""
"Archive 2","","","","","","","","","","","","",""
"Engineering & Production SAN","","","","","X","","","","","","","",""
"Archive 2 Backup","","","","","","","","","","","","",""
"Engineering & Production SAN 3","","","","","X","","","","","","","",""
"Test SAN","","X","","","","X","X","","","","","",""
"Test SAN Archive","","X","","","","X","X","","","","","",""
"Test SAN Archive Backup","","","","","","X","","","","","","",""
"Company Management SAN","","","","","","","","X","","","X","X","X"
"Company Management SAN","","","","","","","","X","","","X","X","X"
"Archive","","","","","","","","","","","","",""
"Company Management SAN","","","","","","","","X","","","X","X","X"
"Archive Backup","","","","","","","","","","","","",""
"Engineering & Production 
X","X","","","","","","","","","","","",""
"(Workstation 1)","","","","","","","","","","","","",""
"Engineering & Production","X","","","","","","","","","","","",""
"(Workstation 2)","","","","","","","","","","","","",""
"Engineering & Production","X","","","","X","","","","","","","",""
"(Workstation 3)","","","","","","","","","","","","",""
"Engineering & Production","","","","","X","","","","X","","","",""
"(Workstation 4)","","","","","","","","","","","","",""
"Test Engineering (Laptop 1)","","X","","","","","","","","","","",""
"Test Engineering (Laptop 2)","","","","","","X","X","","","","","",""
