Hardware Name,Year
Cisco FirePower 4125 (Next Generation Firewall),2010
Cisco Meraki MS425-32 (Layer 3 Switch),2014
Cisco Catalyst 2960-X (Layer 2 Ethernet Switch),2015
Dell PowerEdge R750 Rack Server,2020
Dell PowerVault ME5024 (SAN),2018
Dell PowerEdge R750 (SR1 - SR12),2020
Cisco Catalyst 2960-X (Ethernet Switch),2015
Tripp Lite N052-048-1U (48-Port Patch Panel),2010
APC SMT3000RM2UC (Uninterruptible Power Supply),2015
Cisco Catalyst 2960-X (Ethernet Switch),2015
Dell PowerVault ME5024 (SAN),2018
APC SMT3000RM2UC,2015
Dell Precision 5820,2018
Samsung S24C450DL (24” Widescreen LCD Display),2013
Dell 7330 Rugged Latitude Extreme Laptop,2018
Gator ATA TSA Molded Laptop Travel Case,2010
Cisco 2500 Series,1993
Cisco 2600 Series,1998
Cisco 3600 Series,1996
Cisco 7200 Series,1996
Cisco 7500 Series,1994
Cisco 800 Series,2001
Cisco 1000 Series,2018
Cisco 2900 Series,2009
Cisco ASR 9000,2008
Cisco ISR 4000,2013
Cisco 12000 Series,1996
Cisco 1800 Series,2004
Cisco 1900 Series,2009
Cisco 4300 Series,2014
Cisco Catalyst 8300,2020
Cisco Nexus 9000,2013
Cisco Catalyst 9000,2017
Cisco 4400 Series,2014
Cisco ISR 800,2002
Cisco ASR 1000,2008
Cisco 3000 Series,1995
Cisco 7000 Series,1993
Cisco 1000v Series,2012
Cisco Catalyst 8200 Series,2021
Cisco Catalyst 8500 Series,2020
Cisco ISR 1100 Series,2018
Cisco Catalyst 9600 Series,2019
Cisco Catalyst 9800 Series,2020
Cisco 900 Series Industrial Routers,2021
Dell Inspiron 15,2015
Dell XPS 13,2012
Dell XPS 15,2015
Dell Latitude 5400,2019
Dell Precision 5550,2020
Dell G5 15,2019
Dell Alienware M15 R3,2020
Dell OptiPlex 7070,2019
Dell Vostro 14 5000,2018
Dell XPS 17,2020
Dell G3 15,2018
Dell Latitude 9510,2020
Dell Precision 5750,2020
Dell Inspiron 7000,2016
Dell Alienware Aurora R10,2020
Dell OptiPlex 5090,2021
Dell XPS 13 Plus,2022
Dell Latitude 7420,2021
Dell G7 17,2019
Dell Precision 3560,2021
Dell Latitude 7320,2021
Dell Inspiron 13,2019
Dell Vostro 3500,2020
Dell Alienware Area-51m,2019
Dell XPS 12,2013
Dell Latitude 7400,2019
Dell Inspiron 14,2020
Dell G5 SE,2020
Dell Precision 7750,2020
Dell OptiPlex 3080,2021
Dell Alienware X17,2021
Dell Vostro 7510,2021
Dell Inspiron 16 Plus,2021
Dell G15,2020
Dell XPS 15 9500,2020
Dell Precision 5550,2020
Dell Alienware M15 R3,2020
Dell XPS 17,2020
Dell Latitude 9510,2020
Dell Precision 5750,2020
Dell Alienware Aurora R10,2020
Dell OptiPlex 5090,2021
Dell XPS 13 Plus,2022
Dell Latitude 7420,2021
Dell Precision 3560,2021
Dell Latitude 7320,2021
Dell Vostro 3500,2020
Dell Inspiron 14,2020
Dell G5 SE,2020
Dell Precision 7750,2020
Dell OptiPlex 3080,2021
Dell Alienware X17,2021
Dell Vostro 7510,2021
Dell Inspiron 16 Plus,2021
Dell G15,2020
Dell XPS 15 9500,2020
